Date,Name,Tags,Project,Description
2024/11/06 20:00 (JST) → 22:00,typhoon / スライド作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/06 19:15 (JST) → 20:00,数理計画と最適化2 / 課題,"Output, Productive","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ",
2024/11/06 16:45 (JST) → 19:15,数理計画と最適化2 / 一階述語論理,"Productive, Review","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ",
2024/11/06 14:55 (JST) → 16:40,電磁エネルギー基礎 / 電磁波,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2024/11/06 13:00 (JST) → 14:45,電磁エネルギー基礎 / 電磁波,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2024/11/06 11:00 (JST) → 12:45,日経ストックリーグ,"Event, Life, With friends",,
2024/11/06 10:15 (JST) → 11:00,typhoon / スライド作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/06 8:30 (JST) → 10:15,プラズマ理工学,"Input, Lecture, Productive","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2024/11/06 8:15 (JST) → 8:30,typhoon / スライド作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/06 7:15 (JST) → 8:15,transfer,"English, Tranfer",,
2024/11/06 7:00 (JST) → 7:15,morning,Life,,
2024/11/06 5:00 (JST) → 7:00,typhoon / 学会発表スライド作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/06 4:45 (JST) → 5:00,morning,Life,,
2024/11/05 23:00 (JST) → 23:45,dinner and shower / 12:00就寝,Life,,
2024/11/05 22:00 (JST) → 23:00,transfer / typhoon,"Output, Tranfer","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/05 19:00 (JST) → 22:00,typhoon / 学会発表スライド作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/05 16:50 (JST) → 18:35,伝熱・熱力学(Heat Transfer),"English, Input, Lecture, Productive","伝熱・熱力学(Heat Transfer)／Heat Transfer and Thermodynamics (https://www.notion.so/Heat-Transfer-Heat-Transfer-and-Thermodynamics-1127ef7cacf180cb9745eadfc44c0e81?pvs=21) ","Heat Transfer - Ninth Edition - International Edition (https://www.notion.so/Heat-Transfer-Ninth-Edition-International-Edition-1157ef7cacf180679ad5f59aae2c03d0?pvs=21) "
2024/11/05 14:55 (JST) → 16:40,先端コンピューティング,"Input, Lecture, Productive","先端コンピューティング／High-End Computing (https://www.notion.so/High-End-Computing-1137ef7cacf18010b5d5e81fa02fad43?pvs=21) ",
2024/11/05 13:00 (JST) → 14:45,先端コンピューティング,"Input, Lecture, Productive","先端コンピューティング／High-End Computing (https://www.notion.so/High-End-Computing-1137ef7cacf18010b5d5e81fa02fad43?pvs=21) ",
2024/11/05 12:15 (JST) → 12:45,lunch,"Life, With friends",,
2024/11/05 10:25 (JST) → 12:10,量子力学 / 角運動量の定義は交換子,"Input, Lecture, Productive","量子力学／Quantum mechanics (https://www.notion.so/Quantum-mechanics-1127ef7cacf18040bfc9d423061ad899?pvs=21) ",
2024/11/05 8:30 (JST) → 10:15,情報理論 / チェイン則、情報不等式,"Input, Lecture, Productive","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2024/11/05 8:15 (JST) → 8:30,typhoon,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/11/05 7:15 (JST) → 8:15,transfer,"English, Tranfer",,
2024/11/05 7:00 (JST) → 7:15,morning,Life,,
2024/11/04 21:00 (JST) → 22:30,NPU zoom,"MTG, Non-Productive, Output, Task","GXSN foot print analysis (https://www.notion.so/GXSN-foot-print-analysis-ebe8a53592274adeb3809b2b60109615?pvs=21) ",
2024/11/04 20:00 (JST) → 21:00,Heat Transfer / 課題,"Output, Productive","伝熱・熱力学(Heat Transfer)／Heat Transfer and Thermodynamics (https://www.notion.so/Heat-Transfer-Heat-Transfer-and-Thermodynamics-1127ef7cacf180cb9745eadfc44c0e81?pvs=21) ","Heat Transfer - Ninth Edition - International Edition (https://www.notion.so/Heat-Transfer-Ninth-Edition-International-Edition-1157ef7cacf180679ad5f59aae2c03d0?pvs=21) "
2024/11/04 15:30 (JST) → 17:30,量子力学 / 課題,"Input, Output, Productive","量子力学／Quantum mechanics (https://www.notion.so/Quantum-mechanics-1127ef7cacf18040bfc9d423061ad899?pvs=21) ","現代の量子力学(上)第3版 (物理学叢書112) (https://www.notion.so/3-112-1157ef7cacf180c79d17f3161fcc5254?pvs=21) "
2024/11/04 14:00 (JST) → 15:30,電磁気学とベクトル解析,"Input, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ","電磁気学とベクトル解析 (数学と物理の交差点 2) (https://www.notion.so/2-d8597d1b7dd348188c6f0448cb6ebcc4?pvs=21) "
2024/11/04 13:30 (JST) → 14:00,流体力学演習 / 課題,"Output, Productive, Review","流体力学演習Ａ１／Exercise in Hydrodynamics 1 (https://www.notion.so/Exercise-in-Hydrodynamics-1-1137ef7cacf18092ae9bd4343f0bf077?pvs=21) ",
2024/11/04 12:00 (JST) → 13:15,お参り,Life,,
2024/11/04 11:30 (JST) → 12:00,morning,Life,,
2024/11/01 23:15 (JST) → 2024/11/02 0:30 (JST),transfer,Tranfer,,
2024/11/01 18:45 (JST) → 23:15,田中先生 公孫会ご飯会,"Event, Life",,
2024/11/01 16:50 (JST) → 18:35,伝熱・熱力学(Heat Transfer),"Input, Lecture, Productive","伝熱・熱力学(Heat Transfer)／Heat Transfer and Thermodynamics (https://www.notion.so/Heat-Transfer-Heat-Transfer-and-Thermodynamics-1127ef7cacf180cb9745eadfc44c0e81?pvs=21) ","Heat Transfer - Ninth Edition - International Edition (https://www.notion.so/Heat-Transfer-Ninth-Edition-International-Edition-1157ef7cacf180679ad5f59aae2c03d0?pvs=21) "
2024/11/01 15:30 (JST) → 16:45,量子力学 / 復習,"Input, Productive, Review","量子力学／Quantum mechanics (https://www.notion.so/Quantum-mechanics-1127ef7cacf18040bfc9d423061ad899?pvs=21) ","現代の量子力学(上)第3版 (物理学叢書112) (https://www.notion.so/3-112-1157ef7cacf180c79d17f3161fcc5254?pvs=21) "
