Date,Name,Tags,Project,Description
2024/07/18 14:15 (JST) → 15:00,大気海洋循環学,"Productive, Review","大気海洋循環学／Introduction to Ocean-Atmosphere Circulation (https://www.notion.so/Introduction-to-Ocean-Atmosphere-Circulation-8422a27f674d4b1da25f216f7becef26?pvs=21) ",
2024/07/18 13:00 (JST) → 14:15,【試験30点満点】材料力学３,"Exam, High Productive, Output","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/18 12:30 (JST) → 13:00,材料力学試験対策,"Output, Productive, Review","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/18 8:45 (JST) → 12:30,数理演習,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/18 7:45 (JST) → 8:45,transfer，複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/18 7:00 (JST) → 7:45,morning,Life,,
2024/07/18 7:00 (JST) → 7:45,morning,Life,,
2024/07/18 6:45 (JST) → 7:00,大気海洋循環学ざっと復習,"Productive, Review","大気海洋循環学／Introduction to Ocean-Atmosphere Circulation (https://www.notion.so/Introduction-to-Ocean-Atmosphere-Circulation-8422a27f674d4b1da25f216f7becef26?pvs=21) ",
2024/07/18 5:30 (JST) → 6:45,数理演習,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/18 5:00 (JST) → 5:30,morning,Life,,
2024/07/17 23:30 (JST) → 2024/07/18 0:00 (JST),shower,Life,,
2024/07/17 22:00 (JST) → 23:30,transfer，複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/17 20:00 (JST) → 22:00,数理演習,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/17 16:15 (JST) → 20:00,材料力学,"Output, Productive, Review","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/17 13:30 (JST) → 16:15,gym,"GYM, With friends","GYM (https://www.notion.so/GYM-d8e278be7f9c4d42a214dc441cab6e7e?pvs=21) ",
2024/07/17 12:15 (JST) → 13:00,lunch,Life,,
2024/07/17 10:25 (JST) → 12:10,[補]地球科学２,"Input, Lecture, Productive","地球科学２／Earth System Science 2 (https://www.notion.so/Earth-System-Science-2-54b43820099e4c00877debe95b20aedc?pvs=21) ",
2024/07/17 9:30 (JST) → 10:25,気象学会口頭発表予稿作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/07/17 8:30 (JST) → 9:30,transfer,Tranfer,,
2024/07/17 7:00 (JST) → 8:00,morning,Life,,
2024/07/16 23:30 (JST) → 2024/07/17 0:30 (JST),dinner and shower,Life,,
2024/07/16 22:00 (JST) → 23:30,transfer，複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/16 16:15 (JST) → 22:00,数理演習,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/16 13:30 (JST) → 16:15,材料力学復習,"Productive, Review","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/16 9:30 (JST) → 13:30,基礎プロレポート,"Output, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/16 8:30 (JST) → 9:30,trasnfer,Tranfer,,
2024/07/15 12:00 (JST) → 2024/07/16 2:00 (JST),気象学会予稿作成,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/07/13 22:00 (JST) → 23:15,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/13 18:00 (JST) → 22:00,SFS懇親会,"Event, Life","サステナブル・ファイナンス・スクール（2024summer） (https://www.notion.so/2024summer-398a786d076941a4b0d5a5b86c4b75e3?pvs=21) ",
2024/07/13 13:00 (JST) → 18:00,サステナブルファイナンスTA,"Non-Productive, Task","サステナブル・ファイナンス・スクール（2024summer） (https://www.notion.so/2024summer-398a786d076941a4b0d5a5b86c4b75e3?pvs=21) ",
2024/07/13 11:45 (JST) → 13:00,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/12 23:00 (JST) → 2024/07/13 0:15 (JST),transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/12 21:30 (JST) → 23:00,にゃっとmtg,"MTG, With friends",,
2024/07/12 18:45 (JST) → 21:30,応用のための物理,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/12 17:15 (JST) → 18:45,環境調和論レポート,"Output, Productive","環境調和論／Harmonious Environment Management (https://www.notion.so/Harmonious-Environment-Management-9eaaa34cf92e464ebf954789bfb5b641?pvs=21) ",
2024/07/12 16:45 (JST) → 17:15,dinner,Life,,
2024/07/12 14:55 (JST) → 16:40,環境調和論,"Input, Lecture, Productive","環境調和論／Harmonious Environment Management (https://www.notion.so/Harmonious-Environment-Management-9eaaa34cf92e464ebf954789bfb5b641?pvs=21) ",
2024/07/12 13:00 (JST) → 14:45,数理演習２Ａ,"Input, Lecture, Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/12 12:45 (JST) → 13:00,zoomピッチ練習,"MTG, Productive","風車を作る (https://www.notion.so/2c93111886c64195833ebd3761404fc0?pvs=21) ",
2024/07/12 12:15 (JST) → 12:45,lunch,Life,,
2024/07/12 10:25 (JST) → 12:10,統計力学I,"Input, Lecture, Productive","統計力学I／Statistical Mechanics I (https://www.notion.so/I-Statistical-Mechanics-I-bce78a45ef8745c08e7f3d49c4eba073?pvs=21) ",
2024/07/12 8:30 (JST) → 10:15,大気海洋循環学,"Input, Lecture, Productive","大気海洋循環学／Introduction to Ocean-Atmosphere Circulation (https://www.notion.so/Introduction-to-Ocean-Atmosphere-Circulation-8422a27f674d4b1da25f216f7becef26?pvs=21) ",
2024/07/12 7:30 (JST) → 8:30,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/11 22:00 (JST) → 23:15,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/11 21:15 (JST) → 21:45,電離気体論レポート課題,"Output, Productive","電離気体論／Ionized Gases (https://www.notion.so/Ionized-Gases-f1fe189920c9473b9ccf502d3c4148fc?pvs=21) ","高電圧工学[第2版] (https://www.notion.so/2-b4d4a164ba1d4264ab285b907d94381f?pvs=21) "
2024/07/11 19:30 (JST) → 21:15,プログラミング応用課題,"Input, Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/11 16:50 (JST) → 18:35,プログラミング応用IIＡ,"Input, Lecture, Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/11 14:55 (JST) → 16:40,プログラミング応用IIＡ,"Input, Lecture, Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/11 13:00 (JST) → 14:45,材料力学３,"Input, Lecture, Productive","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/11 11:00 (JST) → 12:00,Minamide's group mtg,"English, Input, Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/07/11 8:30 (JST) → 10:15,電離気体論,"Input, Lecture, Productive","電離気体論／Ionized Gases (https://www.notion.so/Ionized-Gases-f1fe189920c9473b9ccf502d3c4148fc?pvs=21) ",
2024/07/11 7:30 (JST) → 8:30,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/10 22:00 (JST) → 23:15,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/10 19:00 (JST) → 22:00,電離気体論レポート課題,"Output, Productive","電離気体論／Ionized Gases (https://www.notion.so/Ionized-Gases-f1fe189920c9473b9ccf502d3c4148fc?pvs=21) ","高電圧工学[第2版] (https://www.notion.so/2-b4d4a164ba1d4264ab285b907d94381f?pvs=21) "
2024/07/10 17:00 (JST) → 19:00,ITER 説明会,"Event, Non-Productive",,
2024/07/10 14:55 (JST) → 16:40,基礎プロジェクトＡ,"Input, Lecture, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/10 13:00 (JST) → 14:45,基礎プロジェクトＡ,"Input, Lecture, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/10 12:15 (JST) → 13:00,lunch,Life,,
2024/07/10 10:25 (JST) → 12:10,地球科学２,"Input, Lecture, Productive","地球科学２／Earth System Science 2 (https://www.notion.so/Earth-System-Science-2-54b43820099e4c00877debe95b20aedc?pvs=21) ",
2024/07/10 8:30 (JST) → 10:15,電離気体論レポート課題,"Output, Productive","電離気体論／Ionized Gases (https://www.notion.so/Ionized-Gases-f1fe189920c9473b9ccf502d3c4148fc?pvs=21) ","高電圧工学[第2版] (https://www.notion.so/2-b4d4a164ba1d4264ab285b907d94381f?pvs=21) "
2024/07/10 7:30 (JST) → 8:30,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/09 22:00 (JST) → 23:15,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/09 20:30 (JST) → 22:00,ベクトル解析・複素関数論,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/09 19:00 (JST) → 20:30,応用のための物理復習,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/09 17:15 (JST) → 19:00,電離気体論レポート課題,"Output, Productive","電離気体論／Ionized Gases (https://www.notion.so/Ionized-Gases-f1fe189920c9473b9ccf502d3c4148fc?pvs=21) ","高電圧工学[第2版] (https://www.notion.so/2-b4d4a164ba1d4264ab285b907d94381f?pvs=21) "
2024/07/09 16:15 (JST) → 17:00,lunch,Life,,
2024/07/09 15:00 (JST) → 16:15,辻先生面談,"High Productive, MTG",,
2024/07/09 13:00 (JST) → 14:45,応用のための物理Ⅱ（統計力学、プラズマ）,"Input, Lecture, Productive","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/09 12:00 (JST) → 13:00,南出先生mtg,"MTG, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/07/09 10:30 (JST) → 12:00,typhoon,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/07/09 9:00 (JST) → 10:15,【期末試験】コンピュータアーキテクチャ,"Exam, High Productive, Output","コンピュータアーキテクチャ／Computer Architecture (https://www.notion.so/Computer-Architecture-8ed2795cecbd4055ac8647abd01c9148?pvs=21) ",
2024/07/09 8:15 (JST) → 9:00,コンピュータアーキテクチャ期末対策,"Input, Productive, Review","コンピュータアーキテクチャ／Computer Architecture (https://www.notion.so/Computer-Architecture-8ed2795cecbd4055ac8647abd01c9148?pvs=21) ","コンピュータアーキテクチャ (電子情報通信レクチャーシリーズ) (電子情報通信レクチャーシリーズ C- 9) (https://www.notion.so/C-9-60a3f3653864489792310e903e3c50ff?pvs=21) "
2024/07/09 7:15 (JST) → 8:15,transfer,Tranfer,,
2024/07/09 7:00 (JST) → 7:15,morning,Life,,
2024/07/08 20:00 (JST) → 2024/07/09 0:00 (JST),コンピュータアーキテクチャ期末対策,"Input, Productive, Review","コンピュータアーキテクチャ／Computer Architecture (https://www.notion.so/Computer-Architecture-8ed2795cecbd4055ac8647abd01c9148?pvs=21) ","コンピュータアーキテクチャ (電子情報通信レクチャーシリーズ) (電子情報通信レクチャーシリーズ C- 9) (https://www.notion.so/C-9-60a3f3653864489792310e903e3c50ff?pvs=21) "
2024/07/08 18:30 (JST) → 20:00,shower and dinner,Life,,
2024/07/08 17:30 (JST) → 18:30,散髪,Life,,
2024/07/08 16:45 (JST) → 17:30,東進地学,"Productive, Task","東進地学コンテンツ作成 (https://www.notion.so/ea58c4eaa11f4ec5b0699c9cb531f295?pvs=21) ",
2024/07/08 16:00 (JST) → 16:30,shower,Life,,
2024/07/08 14:45 (JST) → 16:00,transfer,Tranfer,,
2024/07/08 13:00 (JST) → 14:45,材料力学３,"Input, Lecture, Productive","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/08 10:30 (JST) → 13:00,typhoon,"Output, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
2024/07/08 8:30 (JST) → 10:15,機械材料学,"Input, Lecture, Productive","機械材料学／Mechanical properties of materials (https://www.notion.so/Mechanical-properties-of-materials-7f2df644cae54143b556fa5cca813cfb?pvs=21) ",
2024/07/08 7:30 (JST) → 8:30,transfer,Tranfer,,
2024/07/08 7:15 (JST) → 7:30,morning,Life,,
2024/07/07 20:00 (JST) → 21:00,東進地学,"Productive, Task","東進地学コンテンツ作成 (https://www.notion.so/ea58c4eaa11f4ec5b0699c9cb531f295?pvs=21) ",
2024/07/07 17:30 (JST) → 20:00,数学復習,"Productive, Review","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/07 16:00 (JST) → 17:30,応用のための物理復習,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/07 13:00 (JST) → 16:00,コンピュータアーキテクチャ復習,"Input, Productive, Review","コンピュータアーキテクチャ／Computer Architecture (https://www.notion.so/Computer-Architecture-8ed2795cecbd4055ac8647abd01c9148?pvs=21) ","コンピュータアーキテクチャ (電子情報通信レクチャーシリーズ) (電子情報通信レクチャーシリーズ C- 9) (https://www.notion.so/C-9-60a3f3653864489792310e903e3c50ff?pvs=21) "
2024/07/06 19:00 (JST) → 20:15,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/06 16:30 (JST) → 19:00,コンピュータアーキテクチャ期末対策,"Input, Productive, Review","コンピュータアーキテクチャ／Computer Architecture (https://www.notion.so/Computer-Architecture-8ed2795cecbd4055ac8647abd01c9148?pvs=21) ","コンピュータアーキテクチャ (電子情報通信レクチャーシリーズ) (電子情報通信レクチャーシリーズ C- 9) (https://www.notion.so/C-9-60a3f3653864489792310e903e3c50ff?pvs=21) "
2024/07/06 15:15 (JST) → 16:30,コンピュータアーキテクチャ復習,"Input, Productive, Review","コンピュータアーキテクチャ／Computer Architecture (https://www.notion.so/Computer-Architecture-8ed2795cecbd4055ac8647abd01c9148?pvs=21) ","コンピュータアーキテクチャ (電子情報通信レクチャーシリーズ) (電子情報通信レクチャーシリーズ C- 9) (https://www.notion.so/C-9-60a3f3653864489792310e903e3c50ff?pvs=21) "
2024/07/06 12:30 (JST) → 15:15,断面二次モーメント計算,"MTG, Non-Productive","風車を作る (https://www.notion.so/2c93111886c64195833ebd3761404fc0?pvs=21) ",
2024/07/06 11:30 (JST) → 12:30,transfer,Tranfer,,
2024/07/05 22:00 (JST) → 23:15,transfer、複素関数論,"Review, Tranfer","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/05 20:30 (JST) → 22:00,ベクトル解析、複素関数論,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/05 18:15 (JST) → 20:30,応用のための物理,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/05 15:00 (JST) → 18:15,サステナブルファイナンスTA,"Non-Productive, Task","サステナブル・ファイナンス・スクール（2024summer） (https://www.notion.so/2024summer-398a786d076941a4b0d5a5b86c4b75e3?pvs=21) ",
2024/07/05 14:55 (JST) → 15:00,環境調和論,"Input, Lecture, Productive","環境調和論／Harmonious Environment Management (https://www.notion.so/Harmonious-Environment-Management-9eaaa34cf92e464ebf954789bfb5b641?pvs=21) ",
2024/07/05 13:00 (JST) → 14:45,数理演習２Ａ,"Input, Lecture, Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ",
2024/07/05 10:25 (JST) → 12:10,統計力学I,"Input, Lecture, Productive","統計力学I／Statistical Mechanics I (https://www.notion.so/I-Statistical-Mechanics-I-bce78a45ef8745c08e7f3d49c4eba073?pvs=21) ",
2024/07/05 8:30 (JST) → 10:15,大気海洋循環学,"Input, Lecture, Productive","大気海洋循環学／Introduction to Ocean-Atmosphere Circulation (https://www.notion.so/Introduction-to-Ocean-Atmosphere-Circulation-8422a27f674d4b1da25f216f7becef26?pvs=21) ",
2024/07/05 7:30 (JST) → 8:30,transfer,Tranfer,,
2024/07/04 22:00 (JST) → 23:15,transfer、離散フーリエ変換,"Review, Tranfer","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/04 18:45 (JST) → 22:00,プログラミング応用課題,"Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/04 16:50 (JST) → 18:35,プログラミング応用IIＡ,"Input, Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/04 14:55 (JST) → 16:40,プログラミング応用IIＡ,"Input, Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/04 13:00 (JST) → 14:45,材料力学３,"Input, Lecture, Productive","材料力学３／Strength of Materials ３ (https://www.notion.so/Strength-of-Materials-47652ffa23464172b752f59d9376cd73?pvs=21) ",
2024/07/04 12:15 (JST) → 13:00,lunch,Life,,
2024/07/04 10:45 (JST) → 12:15,応用のための物理復習,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/04 10:15 (JST) → 10:45,プログラミング応用,"Output, Productive, coding","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/04 8:30 (JST) → 10:15,電離気体論,"Input, Lecture, Productive","電離気体論／Ionized Gases (https://www.notion.so/Ionized-Gases-f1fe189920c9473b9ccf502d3c4148fc?pvs=21) ",
2024/07/04 7:30 (JST) → 8:30,transfer,Tranfer,,
2024/07/04 7:00 (JST) → 7:30,morning,Life,,
2024/07/04 6:45 (JST) → 7:00,ベクトル解析演習,"Output, Productive","数理演習２Ａ／Exercises for Mathematics 2A (https://www.notion.so/Exercises-for-Mathematics-2A-59d37448d3e64772a2325590ff6c74e0?pvs=21) ","問題を解くことで学ぶベクトル解析: 楽しみながら解くことを意識して (https://www.notion.so/088fb0903aaa436d94755678369f81d8?pvs=21) "
2024/07/04 5:45 (JST) → 6:45,多様体論,"Input, Productive","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ","多様体の基礎 (基礎数学) (https://www.notion.so/e99eb675a08445bfb851619e58dba277?pvs=21) "
2024/07/04 5:15 (JST) → 5:45,morning,Life,,
2024/07/03 22:45 (JST) → 23:30,"dinner,shower",Life,,
2024/07/03 21:30 (JST) → 22:45,transfer、離散フーリエ変換,"Review, Tranfer","プログラミング応用IIＡ／Advanced Course in Programming II (https://www.notion.so/II-Advanced-Course-in-Programming-II-c73454ae861d4cc98a741494fcbaaefd?pvs=21) ",
2024/07/03 20:30 (JST) → 21:30,dinner、プログラミング応用,"Life, With friends",,
2024/07/03 18:45 (JST) → 20:30,環境問題総論,"Input, Lecture, Productive","環境問題総論／An Introduction to Environmental Issues (https://www.notion.so/An-Introduction-to-Environmental-Issues-991997662c4649f1af3019dcf972bf7f?pvs=21) ",
2024/07/03 16:45 (JST) → 18:45,応用のための物理復習,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/03 14:45 (JST) → 16:45,基礎プロレポート,"Output, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/03 13:00 (JST) → 14:45,基礎プロジェクトＡ,"Input, Lecture, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/03 12:15 (JST) → 13:00,lunch,Life,,
2024/07/03 10:25 (JST) → 12:10,地球科学２,"Input, Lecture, Productive","地球科学２／Earth System Science 2 (https://www.notion.so/Earth-System-Science-2-54b43820099e4c00877debe95b20aedc?pvs=21) ",
2024/07/03 9:15 (JST) → 10:25,基礎プロレポート,"Output, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/03 8:00 (JST) → 9:15,transfer、応用のための物理復習,"Review, Tranfer","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/03 7:00 (JST) → 8:00,morning,Life,,
2024/07/02 22:00 (JST) → 23:15,transfer、応用のための物理復習,"Review, Tranfer","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/02 20:30 (JST) → 22:00,応用のための物理復習,"Productive, Review","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/02 17:00 (JST) → 20:30,基礎プロレポート,"Output, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/02 14:55 (JST) → 16:40,環境調和論ではなく基礎プロレポート,"Output, Productive","基礎プロジェクトＡ／Fundamental Project (https://www.notion.so/Fundamental-Project-3e8214aecec640c993eb1f4462915473?pvs=21) ",
2024/07/02 13:00 (JST) → 14:45,応用のための物理Ⅱ（統計力学、プラズマ）,"Input, Lecture, Productive","応用のための物理Ⅱ（統計力学、プラズマ）／Basic Physics for Applications Ⅱ(Statistical and Plasma Theory) (https://www.notion.so/Basic-Physics-for-Applications-Statistical-and-Plasma-Theory-b4779002f6174baa9a55fca1c2434b3f?pvs=21) ",
2024/07/02 12:00 (JST) → 13:00,南出先生mtg,"MTG, Productive","Typhoon (https://www.notion.so/Typhoon-439569aafaf14242a3d50cacbc2759f3?pvs=21) ",
